attack_id,start,end,sensor,std_ratio
1,2015-12-28 10:00:01,2015-12-28 10:00:01,FIT101,
1,2015-12-28 10:00:01,2015-12-28 10:00:01,LIT101,
1,2015-12-28 10:00:01,2015-12-28 10:00:01,MV101,
1,2015-12-28 10:00:01,2015-12-28 10:00:01,P101,
1,2015-12-28 10:00:01,2015-12-28 10:00:01,P102,
2,2015-12-28 10:00:05,2015-12-28 10:00:05,FIT101,
2,2015-12-28 10:00:05,2015-12-28 10:00:05,LIT101,
2,2015-12-28 10:00:05,2015-12-28 10:00:05,MV101,
2,2015-12-28 10:00:05,2015-12-28 10:00:05,P101,
2,2015-12-28 10:00:05,2015-12-28 10:00:05,P102,
3,2015-12-28 10:00:12,2015-12-28 10:00:13,P205,1.4143
3,2015-12-28 10:00:12,2015-12-28 10:00:13,P401,1.4143
3,2015-12-28 10:00:12,2015-12-28 10:00:13,P404,1.4142
3,2015-12-28 10:00:12,2015-12-28 10:00:13,P603,1.4142
3,2015-12-28 10:00:12,2015-12-28 10:00:13,P101,1.4142
4,2015-12-28 10:00:15,2015-12-28 10:00:15,FIT101,
4,2015-12-28 10:00:15,2015-12-28 10:00:15,LIT101,
4,2015-12-28 10:00:15,2015-12-28 10:00:15,MV101,
4,2015-12-28 10:00:15,2015-12-28 10:00:15,P101,
4,2015-12-28 10:00:15,2015-12-28 10:00:15,P102,
5,2015-12-28 10:00:19,2015-12-28 10:00:19,FIT101,
5,2015-12-28 10:00:19,2015-12-28 10:00:19,LIT101,
5,2015-12-28 10:00:19,2015-12-28 10:00:19,MV101,
5,2015-12-28 10:00:19,2015-12-28 10:00:19,P101,
5,2015-12-28 10:00:19,2015-12-28 10:00:19,P102,
6,2015-12-28 10:00:22,2015-12-28 10:00:23,FIT301,2.3032
6,2015-12-28 10:00:22,2015-12-28 10:00:23,LIT401,1.7428
6,2015-12-28 10:00:22,2015-12-28 10:00:23,LIT301,1.669
6,2015-12-28 10:00:22,2015-12-28 10:00:23,FIT503,1.6316
6,2015-12-28 10:00:22,2015-12-28 10:00:23,AIT501,1.5747
7,2015-12-28 10:00:30,2015-12-28 10:00:30,FIT101,
7,2015-12-28 10:00:30,2015-12-28 10:00:30,LIT101,
7,2015-12-28 10:00:30,2015-12-28 10:00:30,MV101,
7,2015-12-28 10:00:30,2015-12-28 10:00:30,P101,
7,2015-12-28 10:00:30,2015-12-28 10:00:30,P102,
8,2015-12-28 10:00:33,2015-12-28 10:00:33,FIT101,
8,2015-12-28 10:00:33,2015-12-28 10:00:33,LIT101,
8,2015-12-28 10:00:33,2015-12-28 10:00:33,MV101,
