attack_id,source,target_stage,stealth_score,severity_score,cascade_potential,blindspot_score,attack_type,sensor_values,explanation_text,fix_rule
atk_00001,VAE,P4,0.9999474,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014417171478271, 0.49935293197631836, 0.4995168447494507, 0.5017649531364441, 0.5013745427131653, 0.49813416600227356, 0.501811683177948, 0.5006484985351562, 0.502064049243927, 0.49919378757476807, 0.5035344362258911, 0.5005505681037903, 0.4995436668395996, 0.5021340250968933, 0.5049927234649658, 0.4993005096912384, 0.4958760440349579, 0.49743354320526123, 0.49869829416275024, 0.4979524314403534, 0.5021753311157227, 0.5028454661369324, 0.49698254466056824, 0.4996863305568695, 0.49818816781044006, 0.502878725528717, 0.5053069591522217, 0.502310037612915, 0.5008052587509155, 0.4995572865009308, 0.4980323612689972, 0.49331939220428467, 0.49149376153945923, 0.5013778805732727, 0.5086441040039062, 0.496899276971817, 0.4987304210662842, 0.5035138726234436, 0.49513712525367737, 0.49866750836372375, 0.5019100904464722, 0.5043157935142517, 0.49661898612976074, 0.4958963692188263, 0.49800822138786316, 0.49404358863830566, 0.4994339942932129, 0.5026500225067139, 0.501391589641571, 0.4998050630092621, 0.5004693865776062]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00002,VAE,P4,0.99994737,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014389157295227, 0.4993450939655304, 0.49950504302978516, 0.501760721206665, 0.5013898015022278, 0.4981287717819214, 0.5017945766448975, 0.500651478767395, 0.5020585060119629, 0.49918967485427856, 0.5035231113433838, 0.5005567669868469, 0.4995500445365906, 0.5021136999130249, 0.5050011873245239, 0.4993128180503845, 0.49586549401283264, 0.49743160605430603, 0.4986926019191742, 0.49797317385673523, 0.5021896958351135, 0.5028415322303772, 0.4969852566719055, 0.4996872842311859, 0.49818047881126404, 0.502888560295105, 0.5053137540817261, 0.5023021697998047, 0.5007983446121216, 0.49956199526786804, 0.4980257451534271, 0.4933032989501953, 0.4914981424808502, 0.5013800263404846, 0.5086433291435242, 0.49689632654190063, 0.4987330436706543, 0.5035037994384766, 0.4951555132865906, 0.4986591637134552, 0.5019255876541138, 0.5043289065361023, 0.4966261684894562, 0.4958810806274414, 0.49800345301628113, 0.49403083324432373, 0.4994303584098816, 0.5026382803916931, 0.5013933777809143, 0.499798983335495, 0.500453531742096]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00003,VAE,P4,0.9999473,0.0,0.0,3.999789357185364,Silent Drift,"[0.5014330744743347, 0.49933841824531555, 0.4994939863681793, 0.5017590522766113, 0.5014104843139648, 0.49812018871307373, 0.5017831921577454, 0.5006600618362427, 0.5020483732223511, 0.4991891384124756, 0.5035147666931152, 0.5005665421485901, 0.49955040216445923, 0.5020977854728699, 0.5050080418586731, 0.4993244707584381, 0.49586501717567444, 0.4974267780780792, 0.49869248270988464, 0.49799662828445435, 0.5022109150886536, 0.5028371810913086, 0.4969838261604309, 0.49969810247421265, 0.4981625974178314, 0.5029130578041077, 0.5053169131278992, 0.5022915005683899, 0.5008026957511902, 0.4995604455471039, 0.4980182945728302, 0.4932844638824463, 0.4915026128292084, 0.5013845562934875, 0.5086461305618286, 0.49689432978630066, 0.4987329840660095, 0.5035036206245422, 0.4951609671115875, 0.49865251779556274, 0.501931369304657, 0.5043468475341797, 0.49662694334983826, 0.49586713314056396, 0.4979996085166931, 0.49401047825813293, 0.4994511604309082, 0.5026196837425232, 0.5014093518257141, 0.49979159235954285, 0.5004296898841858]","This attack evaded detection because PIT501 and FIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays PIT501 and P403.",Manual Review Required isolating P4
atk_00004,VAE,P4,0.99994737,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014349818229675, 0.4993418753147125, 0.4995056390762329, 0.5017595887184143, 0.5013906359672546, 0.49812835454940796, 0.5017958283424377, 0.5006495714187622, 0.5020586252212524, 0.49919021129608154, 0.5035238862037659, 0.5005587935447693, 0.49955064058303833, 0.5021129846572876, 0.5049988031387329, 0.49931198358535767, 0.4958633780479431, 0.49743297696113586, 0.4986928403377533, 0.49797558784484863, 0.5021931529045105, 0.502839982509613, 0.49698665738105774, 0.49968770146369934, 0.4981798827648163, 0.5028916597366333, 0.5053102970123291, 0.5023009777069092, 0.5008013248443604, 0.4995594918727875, 0.49802660942077637, 0.4933042824268341, 0.491498202085495, 0.5013817548751831, 0.5086452960968018, 0.49689632654190063, 0.49873387813568115, 0.5035078525543213, 0.4951510727405548, 0.49865856766700745, 0.5019250512123108, 0.5043270587921143, 0.49662309885025024, 0.49587827920913696, 0.49800124764442444, 0.4940323531627655, 0.49943479895591736, 0.5026371479034424, 0.5013940334320068, 0.4997991621494293, 0.5004515647888184]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00005,VAE,P4,0.99994737,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014407634735107, 0.49934473633766174, 0.49951010942459106, 0.501762330532074, 0.5013864636421204, 0.49812984466552734, 0.5017969608306885, 0.5006498098373413, 0.5020594000816345, 0.4991900324821472, 0.50352543592453, 0.5005556344985962, 0.4995461106300354, 0.502119243144989, 0.5049983859062195, 0.4993113875389099, 0.4958650767803192, 0.4974360764026642, 0.4986957907676697, 0.4979681968688965, 0.5021882653236389, 0.502840518951416, 0.49698302149772644, 0.49968698620796204, 0.49818143248558044, 0.5028872489929199, 0.5053120851516724, 0.5023036003112793, 0.500800371170044, 0.49956169724464417, 0.498029887676239, 0.49330732226371765, 0.49149829149246216, 0.501380443572998, 0.5086458921432495, 0.4968988597393036, 0.4987316131591797, 0.5035083293914795, 0.4951513111591339, 0.49865785241127014, 0.5019224286079407, 0.5043233633041382, 0.4966241717338562, 0.4958850145339966, 0.4980062246322632, 0.49403271079063416, 0.49943047761917114, 0.5026413202285767, 0.5013931393623352, 0.4997987449169159, 0.500457227230072]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00006,VAE,P4,0.9999474,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014427900314331, 0.499353289604187, 0.49951815605163574, 0.5017648935317993, 0.5013710856437683, 0.4981359839439392, 0.5018103718757629, 0.5006470084190369, 0.5020656585693359, 0.49919337034225464, 0.5035344362258911, 0.5005479454994202, 0.49954503774642944, 0.502135157585144, 0.5049932599067688, 0.49929890036582947, 0.4958743453025818, 0.4974336624145508, 0.4986972212791443, 0.4979489743709564, 0.5021709203720093, 0.5028471946716309, 0.4969833493232727, 0.4996820390224457, 0.49819350242614746, 0.5028715133666992, 0.5053077340126038, 0.5023118257522583, 0.500801146030426, 0.49956002831459045, 0.49803367257118225, 0.4933224022388458, 0.49149289727211, 0.501375675201416, 0.5086416006088257, 0.4968999922275543, 0.4987306594848633, 0.5035091638565063, 0.4951404333114624, 0.49866780638694763, 0.5019124150276184, 0.504313051700592, 0.4966209828853607, 0.49589774012565613, 0.4980084002017975, 0.49404817819595337, 0.4994245171546936, 0.5026545524597168, 0.5013856291770935, 0.49980705976486206, 0.5004735589027405]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00007,VAE,P4,0.9999473,0.0,0.0,3.999789357185364,Silent Drift,"[0.5014329552650452, 0.49933943152427673, 0.4994995892047882, 0.50175940990448, 0.5014009475708008, 0.498123437166214, 0.5017905235290527, 0.5006543397903442, 0.5020536184310913, 0.4991900324821472, 0.5035197138786316, 0.5005635619163513, 0.4995502233505249, 0.5021056532859802, 0.5050023794174194, 0.49931856989860535, 0.4958644211292267, 0.4974300265312195, 0.4986927807331085, 0.49798712134361267, 0.5022035837173462, 0.5028374791145325, 0.49698472023010254, 0.4996938109397888, 0.49817052483558655, 0.5029050707817078, 0.5053123831748962, 0.5022956728935242, 0.5008033514022827, 0.49955883622169495, 0.4980226457118988, 0.49329420924186707, 0.4915006160736084, 0.501384437084198, 0.5086467266082764, 0.4968954026699066, 0.49873340129852295, 0.5035082697868347, 0.495153546333313, 0.49865585565567017, 0.5019277334213257, 0.504336416721344, 0.4966232180595398, 0.49587133526802063, 0.49799972772598267, 0.4940202534198761, 0.49944695830345154, 0.5026268362998962, 0.5014036893844604, 0.49979516863822937, 0.5004397630691528]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00008,VAE,P4,0.99994737,0.0,0.0,3.999789655208587,Silent Drift,"[0.5014387965202332, 0.49934807419776917, 0.4995090961456299, 0.5017620325088501, 0.5013861060142517, 0.49813002347946167, 0.5018013715744019, 0.5006515979766846, 0.5020595788955688, 0.4991919994354248, 0.503528892993927, 0.5005563497543335, 0.4995460510253906, 0.5021221041679382, 0.5049987435340881, 0.49930834770202637, 0.4958736300468445, 0.49743136763572693, 0.4986960291862488, 0.4979676604270935, 0.5021882653236389, 0.502842128276825, 0.49698206782341003, 0.4996907711029053, 0.4981783628463745, 0.5028921365737915, 0.5053122639656067, 0.5023036003112793, 0.5008042454719543, 0.4995590150356293, 0.49802497029304504, 0.49330511689186096, 0.49149981141090393, 0.5013805031776428, 0.5086472630500793, 0.4968973398208618, 0.49873244762420654, 0.5035126209259033, 0.4951433539390564, 0.49866414070129395, 0.5019148588180542, 0.504327118396759, 0.4966218173503876, 0.49588799476623535, 0.4980055093765259, 0.4940321147441864, 0.49944034218788147, 0.5026388168334961, 0.5013992786407471, 0.4998020827770233, 0.5004552006721497]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00009,VAE,P4,0.9999475,0.0,0.0,3.999789953231811,Silent Drift,"[0.5014463663101196, 0.49935948848724365, 0.49952349066734314, 0.5017696619033813, 0.5013626217842102, 0.4981386959552765, 0.5018195509910583, 0.50064617395401, 0.5020688772201538, 0.4991950988769531, 0.5035388469696045, 0.5005441308021545, 0.49954062700271606, 0.50214684009552, 0.50499027967453, 0.4992944896221161, 0.4958822429180145, 0.49743324518203735, 0.4986998438835144, 0.49793753027915955, 0.5021610856056213, 0.5028506517410278, 0.4969802498817444, 0.4996807873249054, 0.49819549918174744, 0.5028658509254456, 0.5053038001060486, 0.5023163557052612, 0.5008028745651245, 0.49955883622169495, 0.49803808331489563, 0.4933305084705353, 0.4914896786212921, 0.5013744831085205, 0.5086411833763123, 0.49690011143684387, 0.49872806668281555, 0.5035123229026794, 0.49513402581214905, 0.4986730217933655, 0.5019057393074036, 0.504306435585022, 0.4966186583042145, 0.4959067702293396, 0.4980115294456482, 0.49405166506767273, 0.499426007270813, 0.5026610493659973, 0.5013845562934875, 0.4998086094856262, 0.5004838109016418]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
atk_00010,VAE,P4,0.9999475,0.0,0.0,3.999789953231811,Silent Drift,"[0.5014452934265137, 0.4993625581264496, 0.49952706694602966, 0.5017720460891724, 0.5013548135757446, 0.49814215302467346, 0.501825213432312, 0.5006451606750488, 0.5020701289176941, 0.49919649958610535, 0.5035412311553955, 0.5005413293838501, 0.4995426535606384, 0.5021566152572632, 0.5049870014190674, 0.4992905259132385, 0.4958855211734772, 0.4974302351474762, 0.4987023174762726, 0.49792811274528503, 0.5021528601646423, 0.5028545260429382, 0.49697935581207275, 0.49967870116233826, 0.4982030689716339, 0.5028581023216248, 0.505304753780365, 0.5023216009140015, 0.5008012652397156, 0.4995577037334442, 0.4980386197566986, 0.49333587288856506, 0.4914863109588623, 0.5013696551322937, 0.5086384415626526, 0.496900349855423, 0.4987293779850006, 0.5035107135772705, 0.49513155221939087, 0.4986773729324341, 0.5019018650054932, 0.5043030977249146, 0.4966197609901428, 0.49591320753097534, 0.49801337718963623, 0.49405720829963684, 0.49942249059677124, 0.5026670098304749, 0.5013830661773682, 0.49981313943862915, 0.5004915595054626]","This attack evaded detection because FIT501 and PIT501 remained seamlessly within normal bounds, entirely masking the distinct physical anomaly scaling globally inside P403. Recommended fix: enforce direct cross-sensor conditional validation mapping between bounded arrays FIT501 and P403.",Manual Review Required isolating P4
